,Image Type,Mean Intensity,Standard Deviation Intensity,Median Intensity,Image Name
0,Ground Truth,0.0028611064229707474,0.037715964339674196,0.0,image_0
1,Noisy Image,0.003055914513688129,0.10680428168878232,0.0009114577105073412,image_0
2,Filtered Image,0.0020095282289386107,0.03308886774984563,0.0006730850396078533,image_0
