,Image Type,Mean Intensity,Standard Deviation Intensity,Median Intensity,Image Name
0,Ground Truth,0.0041571274802370125,0.0445004536015601,0.0,image_2
1,Noisy Image,0.004303819288189292,0.10946474353151325,0.0013467556587452717,image_2
2,Filtered Image,0.002938550845975386,0.036752455948365965,0.0010282774838188348,image_2
